39:62:0:0:0:0,60:61:0:0:0:0,82:60:0:0:0:0,104:59:0:0:0:0,126:59:0:0:0:0,148:58:0:0:0:0
40:84:0:0:0:0,61:83:0:0:0:0,83:83:0:0:0:0,104:81:0:0:0:0,126:80:0:0:0:0,148:80:0:0:0:0
40:105:0:0:0:0,61:104:0:0:0:0,83:103:0:0:0:0,105:103:0:0:0:0,127:102:0:0:0:0,149:101:0:0:0:0
