282.37:-661.74:-23.51:-179.29:-0.63:-177.75,322.14:-660.16:-23.51:-179.30:-0.63:-177.75,358.56:-658.73:-23.51:-179.30:-0.63:-177.75,398.77:-661.34:-23.51:-178.33:1.80:-178.33,434.33:-659.27:-23.51:-178.32:3.88:-175.05,473.19:-655.25:-23.51:-179.46:5.05:179.89
285.81:-626:64:-23.51:-179.44:1.97:-177.83,321.41:-626.11:-23.51:-179.14:3.83:-178.44,356.04:-626.46:-23.51:-178.71:5.30:-178.24,393.22:-622.70:-23.51:-177.591.6.33:179.78,429.47:-621.23:-23.51:-178.21:6.36:-177.83,466.97:-618.87:-23.51:-177.59:5.74:-178.8
277.13:-586.56:-23.51:-179.97:-0.27:179.71,319.24:-588.47:-23.51:179.95:0.83:-179.22,356.61:-586.33:-23.51:179.64:3.26:178:94,393.83:-586.00:-23.51:-179.56:4.04:-178.87,431.56:-582.76:-23.51:-179.78:5.88:-179.37,469.05:-582.92:-23.51:-179.00:6.88:-177.63
